year,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,Td dew point,WS,WD,WSGust,WDGust,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax60,Precp1DayMax,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,Cloud Amount
2012,3,1016.3,1017.1,1024.4,1006.9,18.8,30.7,10.7,14.6,2.5,90,16.6,70,85.4,120.4,13,3,6.5,22,78,72.6,109,280.33,4,8,7.5
2012,4,1011.5,1012.3,1021.9,1003,23.1,34.9,16.7,18.5,2.2,80,16.9,80,289.1,141,23,10.5,36.5,57,76,64.5,61.2,240.23,5,9,8.5
2012,5,1007.6,1008.4,1011.9,1002.6,25.9,35.9,19.3,20.2,2.4,80,16.4,280,231.2,107,18,8.5,25,38,71,105.7,127.7,402.31,6,9,7.2
2012,6,1002.9,1003.6,1010.3,994.9,27.8,35.8,23.3,22.4,1.9,80,20.6,80,625.6,134.5,16,18,77,277.5,73,88.8,77,332.5,7,11,8.2
2012,7,1004.3,1005,1010.8,992.9,30.6,38.3,24.7,23,2.4,280,18.5,80,162.8,45.1,8,15.5,39.5,69.5,65,165,206.8,526.28,9,11,5.6
2013,1,1020.3,1021.1,1031,1010.4,16.7,27,11.6,12,2.6,80,16.4,90,93,171.4,13,2.5,7.5,20.5,75,41.5,79.1,186.92,3,6,7.8
2013,2,1018.5,1019.3,1026.4,1010.3,18.8,28.8,13,14.1,2.6,80,16.6,80,34.4,66.7,5,4.5,14.5,30,75,48.1,69.9,204.44,4,8,8.1
2013,3,1015.8,1016.6,1025.8,1005.9,19.9,29.9,10.4,13.9,2.6,80,16.7,90,49.1,69.3,11,3.5,11.5,18,69,74.3,117.7,296.06,5,8,7
2013,4,1012.3,1013.1,1021.5,1000.3,21.1,32.6,13.4,16.2,2.1,80,15.4,70,253,197.5,21,5.5,9.5,33,74,54.6,53.6,211.35,4,8,8.7
2013,5,1008.5,1009.2,1015.8,1001.4,26,36.1,14.4,20.4,1.9,80,14.6,80,338.4,96.5,16,13.5,35,155.5,72,73.8,77.4,368.64,6,10,7.8
